,Unnamed: 0,Age,Month,Site,Departamento,Municipio,Empresa,Estrato 1_Suscriptores,Estrato 2_Suscriptores,Estrato 3_Suscriptores,Estrato 4_Suscriptores,Estrato 5_Suscriptores,Estrato 6_Suscriptores,Industrial_Suscriptores,Comercial_Suscriptores,Oficial_Suscriptores,Otros_Suscriptores,Estrato 1_Consumo,Estrato 2_Consumo,Estrato 3_Consumo,Estrato 4_Consumo,Estrato 5_Consumo,Estrato 6_Consumo,Industrial_Consumo,Comercial_Consumo,Oficial_Consumo,Otros_Consumo,Estrato 1_Valor Consumo,Estrato 2_Valor Consumo,Estrato 3_Valor Consumo,Estrato 4_Valor Consumo,Estrato 5_Valor Consumo,Estrato 6_Valor Consumo,Industrial_Valor Consumo,Comercial_Valor Consumo,Oficial_Valor Consumo,Otros_Valor Consumo,Estrato 1_Consumo Por Suscritor,Estrato 2_Consumo Por Suscritor,Estrato 3_Consumo Por Suscritor,Estrato 4_Consumo Por Suscritor,Estrato 5_Consumo Por Suscritor,Estrato 6_Consumo Por Suscritor,Industrial_Consumo Por Suscritor,Comercial_Consumo Por Suscritor,Oficial_Consumo Por Suscritor,Otros_Consumo Por Suscritor,Estrato 1_Valor Por Suscritor,Estrato 2_Valor Por Suscritor,Estrato 3_Valor Por Suscritor,Estrato 4_Valor Por Suscritor,Estrato 5_Valor Por Suscritor,Estrato 6_Valor Por Suscritor,Industrial_Valor Por Suscritor,Comercial_Valor Por Suscritor,Oficial_Valor Por Suscritor,Otros_Valor Por Suscritor,Estrato 1_Precio por Vatio,Estrato 2_Precio por Vatio,Estrato 3_Precio por Vatio,Estrato 4_Precio por Vatio,Estrato 5_Precio por Vatio,Estrato 6_Precio por Vatio,Industrial_Precio por Vatio,Comercial_Precio por Vatio,Oficial_Precio por Vatio,Otros_Precio por Vatio
27288,1932,2013,Mayo,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,,1.0,,,,,,,,,,11474.0,,,,,,,,,,4245718.0,,,,,,,,,,11474.0,,,,,,,,,,4245718.0,,,,,,,,,,370.0294579048283,,
27688,314,2011,Abril,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,618.0,,,,,,,,,,165051.0,,,,,,,,,,618.0,,,,,,,,,,165051.0,,,,,,,,,,267.0728155339806,,,
28396,1022,2011,Abril,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,219.0,3965.0,183.0,,,1.0,12.0,243.0,16.0,6.0,30220.0,494578.0,27061.0,,,559.0,177572.0,106656.0,24986.0,118456.0,11241854.39,183902935.79,10062818.24,,,213560.36,49309236.21,38852360.15,8720969.04,36593365.39,137.99086757990867,124.7359394703657,147.87431693989072,,,559.0,14797.666666666666,438.91358024691357,1561.625,19742.666666666668,51332.668447488584,46381.57270870113,54988.07781420765,,,213560.36,4109103.0175,159886.25576131686,545060.565,6098894.231666666,372.00047617471876,371.8380837602967,371.85685081852114,,,382.03999999999996,277.68587508165706,364.27730413666364,349.0342207636276,308.919475501452
30419,1121,2003,Abril,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,143.0,3012.0,316.0,,,,14.0,201.0,24.0,6.0,19940.0,390898.0,47781.0,,,,114920.0,67884.0,22072.0,107126.0,4677730.0,91700895.0,11208977.0,,,,20093273.0,15924869.0,5471224.0,21046973.0,139.44055944055944,129.78021248339974,151.20569620253164,,,,8208.57142857143,337.7313432835821,919.6666666666666,17854.333333333332,32711.398601398603,30445.18426294821,35471.446202531646,,,,1435233.7857142857,79228.2039800995,227967.66666666666,3507828.8333333335,234.59027081243732,234.5903407026897,234.59067411732698,,,,174.8457448659937,234.58943197218784,247.88075389633926,196.46932584059894
31549,952,2018,Enero,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,342.0,,,,,,,,,,633470.0,,,,,,,,,,342.0,,,,,,,,,,633470.0,,,,,,,,,,1852.251461988304,,,
32061,418,2007,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,987.0,,,,,,,,,,262499.0,,,,,,,,,,987.0,,,,,,,,,,262499.0,,,,,,,,,,265.9564336372847,,,
32687,1044,2007,Diciembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,178.0,3617.0,213.0,,,,19.0,216.0,16.0,1.0,25227.0,479877.0,35046.0,,,,127854.0,101851.0,29759.0,90297.0,7683639.66,146081007.66,10674310.68,,,,29193144.48,30567884.88,8689509.44,21793220.6,141.72471910112358,132.67265689798174,164.53521126760563,,,,6729.1578947368425,471.5324074074074,1859.9375,90297.0,43166.51494382023,40387.33969035112,50114.134647887324,,,,1536481.2884210527,141517.98555555556,543094.34,21793220.6,304.58000000000004,304.41343856863324,304.58,,,,228.33188230325214,300.1235616734249,291.9960159951611,241.3504391065041
33488,299,2005,Septiembre,Rural,VALLE DEL CAUCA,GUACARI,COMERCIALIZAR S.A. E.S.P. EN LIQUIDACION,,,,,,,2.0,,,,,,,,,,16147.0,,,,,,,,,,4236931.0,,,,,,,,,,8073.5,,,,,,,,,,2118465.5,,,,,,,,,,262.3974112838298,,,
34877,444,2018,Mayo,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,,1.0,,,,,,,,,,426.0,,,,,,,,,,202086.0,,,,,,,,,,426.0,,,,,,,,,,202086.0,,,,,,,,,,474.38028169014086,
35583,1150,2018,Mayo,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,507.0,4998.0,127.0,,,,9.0,280.0,23.0,5.0,55700.0,580013.0,18198.0,,,,86970.0,124839.0,35405.0,52826.0,29272049.42,304032735.33,9513686.67,,,,37522821.46,64426176.78,16966424.18,24796894.89,109.86193293885601,116.04901960784314,143.29133858267716,,,,9663.333333333334,445.85357142857146,1539.3478260869565,10565.2,57735.79767258383,60830.8794177671,74910.91866141732,,,,4169202.3844444444,230093.4885,737670.6165217392,4959378.978,525.5305102333932,524.1826223377751,522.7874859874712,,,,431.4455727262274,516.0741177036023,479.20983420420845,469.4070134024912
